eventid layer signal axis fiberid x/y z energy intensity time
226 2 Calorimeter l 0 0 0 2851.31 2851.31 2.76896
226 3 Calorimeter l 0 0 0 850.468 850.468 2.68098
227 -1 GUNout g 0 0 0 831.58 0 0.413166252
227 1 Calorimeter l 0 0 0 322.52 322.52 3.03652
227 2 Calorimeter l 0 0 0 509.061 509.061 2.72071
229 -1 GUNout g 0 0 0 1311.46 0 0.639363996
229 2 WLS_Slow x 96 -31.039 5.15608 53.9888 17 2.23578
229 2 WLS_Slow x 97 -29.029 5.15608 273.12 86 2.23578
229 2 WLS_Slow x 98 -27.019 5.15608 298.526 94 2.23578
229 2 WLS_Slow x 99 -25.009 5.15608 57.1646 18 2.23641
229 2 WLS_Slow y 58 -107.419 5.15608 3.17581 1 2.23578
229 2 WLS_Slow y 59 -105.409 5.15608 158.791 50 2.23578
229 2 WLS_Slow y 60 -103.399 5.15608 177.846 56 2.23578
229 2 WLS_Slow y 61 -101.389 5.15608 225.483 71 2.23578
229 2 WLS_Slow y 62 -99.379 5.15608 111.153 35 2.23578
229 2 WLS_Slow y 63 -97.369 5.15608 3.17581 1 2.23578
229 2 Edge_Detector l 0 0 0 1311.46 1311.46 2.23578
236 -1 GUNout g 0 0 0 7145.43 0 0.260286413
236 0 Calorimeter l 0 0 0 1741.82 1741.82 2.65004
238 -1 GUNout g 0 0 0 844.766 0 0.773124788
238 2 WLS_Slow x 140 57.401 5.15608 9.52744 3 2.32828
238 2 WLS_Slow x 141 59.411 5.15608 6.35163 2 2.32828
238 2 WLS_Slow x 142 61.421 5.15608 15.8791 5 2.32828
